img_fn,bishop,king,knight,pawn,queen,rook
back-1,0.0035180747509002686,0.021110542758833617,0.039210147224366665,0.8132460117340088,0.0002845352501026355,0.12263079546391964
back-2,0.005078127491287887,0.030449157115072012,0.14948008581995964,0.6110112625174224,0.0009035450930241495,0.20307782664895058
bishop,0.8496697968803346,0.012107095448300242,0.09689968079328537,0.030472205486148596,0.0047537138452753425,0.006097478908486664
king,0.49063653126358986,0.0386507292278111,0.03387067373842001,0.11753480334300548,0.07015245780348778,0.2491546906530857
knight,0.003754291625227779,0.0005548651388380677,0.923535905778408,0.005736612270993646,0.0016766601474955678,0.06474187783896923
pawn,0.6674904376268387,0.013513034209609032,0.15219834074378014,0.05841478146612644,0.043306868989020586,0.06507657468318939
queen,0.5686268210411072,0.015203797491267323,0.04090999159961939,0.1833474856102839,0.1305037559941411,0.06140813045203686
rook,0.10074692219495773,0.015394224785268307,0.005699691828340292,0.03475060797063634,0.36371257342398167,0.4796959850937128
